"2021-10-05_longtermsulfite_144133 - RawData"
"Wavelength nm.","Abs."
190.00,3.62767
191.00,3.34973
192.00,3.52707
193.00,3.50986
194.00,3.68829
195.00,3.80652
196.00,3.79591
197.00,3.77220
198.00,3.84299
199.00,3.78285
200.00,3.83908
201.00,3.89285
202.00,3.93903
203.00,3.93367
204.00,3.90451
205.00,3.96252
206.00,3.91812
207.00,3.93254
208.00,3.93118
209.00,3.95422
210.00,3.95665
211.00,3.97917
212.00,3.96222
213.00,3.97687
214.00,3.97673
215.00,3.97911
216.00,3.96529
217.00,3.97672
218.00,3.97012
219.00,3.93364
220.00,3.60246
221.00,3.13536
222.00,2.67873
223.00,2.27240
224.00,1.92249
225.00,1.65843
226.00,1.43756
227.00,1.25056
228.00,1.10675
229.00,0.99867
230.00,0.91835
231.00,0.86435
232.00,0.83348
233.00,0.82388
234.00,0.83310
235.00,0.85876
236.00,0.89938
237.00,0.95294
238.00,1.01997
239.00,1.09846
240.00,1.18633
241.00,1.28658
242.00,1.39575
243.00,1.50993
244.00,1.63396
245.00,1.76318
246.00,1.89493
247.00,2.02489
248.00,2.15398
249.00,2.27716
250.00,2.39505
251.00,2.50894
252.00,2.60497
253.00,2.69566
254.00,2.78082
255.00,2.84927
256.00,2.91237
257.00,2.96349
258.00,3.00745
259.00,3.02307
260.00,3.04836
261.00,3.05304
262.00,3.06264
263.00,3.05571
264.00,3.05579
265.00,3.03705
266.00,3.00375
267.00,2.99094
268.00,2.95107
269.00,2.91542
270.00,2.87190
271.00,2.82941
272.00,2.78647
273.00,2.74605
274.00,2.68547
275.00,2.62321
276.00,2.57565
277.00,2.51381
278.00,2.45329
279.00,2.38353
280.00,2.31432
281.00,2.24394
282.00,2.16730
283.00,2.09073
284.00,2.01485
285.00,1.92946
286.00,1.85068
287.00,1.76811
288.00,1.68369
289.00,1.59943
290.00,1.51913
291.00,1.43080
292.00,1.34532
293.00,1.26108
294.00,1.17786
295.00,1.09256
296.00,1.00925
297.00,0.93069
298.00,0.84990
299.00,0.77632
300.00,0.70589
301.00,0.64009
302.00,0.57436
303.00,0.51884
304.00,0.46376
305.00,0.41383
306.00,0.36971
307.00,0.32858
308.00,0.29080
309.00,0.25758
310.00,0.22751
311.00,0.20050
312.00,0.17615
313.00,0.15576
314.00,0.13872
315.00,0.12280
316.00,0.10881
317.00,0.09734
318.00,0.08752
319.00,0.07887
320.00,0.07188
321.00,0.06622
322.00,0.06145
323.00,0.05772
324.00,0.05460
325.00,0.05194
326.00,0.04991
327.00,0.04816
328.00,0.04677
329.00,0.04541
330.00,0.04451
331.00,0.04353
332.00,0.04288
333.00,0.04208
334.00,0.04150
335.00,0.04095
336.00,0.04054
337.00,0.04004
338.00,0.03969
339.00,0.03934
340.00,0.03903
341.00,0.03871
342.00,0.03844
343.00,0.03824
344.00,0.03798
345.00,0.03769
346.00,0.03754
347.00,0.03740
348.00,0.03720
349.00,0.03706
350.00,0.03687
351.00,0.03665
352.00,0.03656
353.00,0.03638
354.00,0.03625
355.00,0.03618
356.00,0.03598
357.00,0.03589
358.00,0.03589
359.00,0.03572
360.00,0.03548
