"2021-10-05_longtermsulfite_151120 - RawData"
"Wavelength nm.","Abs."
190.00,2.93248
191.00,3.10593
192.00,3.10310
193.00,3.22644
194.00,3.29262
195.00,3.39842
196.00,3.41997
197.00,3.53197
198.00,3.51790
199.00,3.55647
200.00,3.53603
201.00,3.56845
202.00,3.58835
203.00,3.61583
204.00,3.60915
205.00,3.63414
206.00,3.72203
207.00,3.69553
208.00,3.67200
209.00,3.71126
210.00,3.75983
211.00,3.71442
212.00,3.70934
213.00,3.72411
214.00,3.67029
215.00,3.68150
216.00,3.63887
217.00,3.66454
218.00,3.63493
219.00,3.69232
220.00,3.72322
221.00,3.65282
222.00,3.57790
223.00,3.49963
224.00,3.50562
225.00,3.48378
226.00,3.48628
227.00,3.48274
228.00,3.47601
229.00,3.45595
230.00,3.45981
231.00,3.38451
232.00,3.36522
233.00,3.25874
234.00,3.09062
235.00,2.86267
236.00,2.59482
237.00,2.34143
238.00,2.08951
239.00,1.85738
240.00,1.64827
241.00,1.45126
242.00,1.27403
243.00,1.11955
244.00,0.97740
245.00,0.85052
246.00,0.73929
247.00,0.64240
248.00,0.55673
249.00,0.48305
250.00,0.41972
251.00,0.36266
252.00,0.31503
253.00,0.27457
254.00,0.23845
255.00,0.20882
256.00,0.18318
257.00,0.16122
258.00,0.14209
259.00,0.12617
260.00,0.11305
261.00,0.10103
262.00,0.09105
263.00,0.08328
264.00,0.07585
265.00,0.06955
266.00,0.06462
267.00,0.06058
268.00,0.05682
269.00,0.05377
270.00,0.05136
271.00,0.04929
272.00,0.04750
273.00,0.04614
274.00,0.04491
275.00,0.04387
276.00,0.04303
277.00,0.04233
278.00,0.04173
279.00,0.04118
280.00,0.04080
281.00,0.04044
282.00,0.04007
283.00,0.03981
284.00,0.03952
285.00,0.03926
286.00,0.03906
287.00,0.03882
288.00,0.03859
289.00,0.03845
290.00,0.03827
291.00,0.03809
292.00,0.03787
293.00,0.03769
294.00,0.03757
295.00,0.03737
296.00,0.03720
297.00,0.03714
298.00,0.03696
299.00,0.03690
300.00,0.03679
301.00,0.03676
302.00,0.03668
303.00,0.03659
304.00,0.03651
305.00,0.03642
306.00,0.03618
307.00,0.03607
308.00,0.03601
309.00,0.03596
310.00,0.03593
311.00,0.03581
312.00,0.03581
313.00,0.03572
314.00,0.03568
315.00,0.03574
316.00,0.03563
317.00,0.03560
318.00,0.03558
319.00,0.03549
320.00,0.03548
321.00,0.03542
322.00,0.03531
323.00,0.03532
324.00,0.03520
325.00,0.03514
326.00,0.03526
327.00,0.03513
328.00,0.03516
329.00,0.03513
330.00,0.03505
331.00,0.03503
332.00,0.03508
333.00,0.03499
334.00,0.03493
335.00,0.03491
336.00,0.03496
337.00,0.03473
338.00,0.03482
339.00,0.03474
340.00,0.03473
341.00,0.03476
342.00,0.03470
343.00,0.03462
344.00,0.03456
345.00,0.03467
346.00,0.03455
347.00,0.03459
348.00,0.03455
349.00,0.03452
350.00,0.03453
351.00,0.03435
352.00,0.03433
353.00,0.03444
354.00,0.03433
355.00,0.03436
356.00,0.03421
357.00,0.03424
358.00,0.03436
359.00,0.03418
360.00,0.03413
