"2021-10-19_lomgtermsulfite_110454 - RawData"
"Wavelength nm.","Abs."
190.00,3.14331
191.00,3.55966
192.00,3.42821
193.00,3.60945
194.00,3.71384
195.00,3.66966
196.00,3.78568
197.00,3.81137
198.00,3.72711
199.00,3.72462
200.00,3.91525
201.00,3.87704
202.00,3.82224
203.00,3.87022
204.00,3.90385
205.00,3.91830
206.00,3.94202
207.00,3.93442
208.00,3.95117
209.00,3.91869
210.00,3.95128
211.00,3.96233
212.00,3.95197
213.00,3.95572
214.00,3.94096
215.00,3.92918
216.00,3.95276
217.00,3.93333
218.00,3.90573
219.00,3.84647
220.00,3.51569
221.00,3.07906
222.00,2.63564
223.00,2.23123
224.00,1.88843
225.00,1.62834
226.00,1.41122
227.00,1.22862
228.00,1.08727
229.00,0.98114
230.00,0.90326
231.00,0.85129
232.00,0.82182
233.00,0.81337
234.00,0.82356
235.00,0.84981
236.00,0.89101
237.00,0.94525
238.00,1.01253
239.00,1.09123
240.00,1.17950
241.00,1.28065
242.00,1.39059
243.00,1.50427
244.00,1.62677
245.00,1.75623
246.00,1.88751
247.00,2.01692
248.00,2.14644
249.00,2.26996
250.00,2.38573
251.00,2.49544
252.00,2.59689
253.00,2.68306
254.00,2.76401
255.00,2.83557
256.00,2.88808
257.00,2.92810
258.00,2.97273
259.00,3.00098
260.00,3.00732
261.00,3.01967
262.00,3.01588
263.00,3.02084
264.00,3.00339
265.00,2.98607
266.00,2.98427
267.00,2.94591
268.00,2.90694
269.00,2.86327
270.00,2.83789
271.00,2.79189
272.00,2.73822
273.00,2.69305
274.00,2.63763
275.00,2.57843
276.00,2.52313
277.00,2.46587
278.00,2.40279
279.00,2.33484
280.00,2.26602
281.00,2.19315
282.00,2.12164
283.00,2.04475
284.00,1.97023
285.00,1.88531
286.00,1.80759
287.00,1.72595
288.00,1.64505
289.00,1.56210
290.00,1.48311
291.00,1.39775
292.00,1.31438
293.00,1.23184
294.00,1.15024
295.00,1.06627
296.00,0.98520
297.00,0.90855
298.00,0.82959
299.00,0.75763
300.00,0.68907
301.00,0.62503
302.00,0.56076
303.00,0.50653
304.00,0.45284
305.00,0.40402
306.00,0.36095
307.00,0.32101
308.00,0.28413
309.00,0.25148
310.00,0.22221
311.00,0.19579
312.00,0.17207
313.00,0.15253
314.00,0.13562
315.00,0.12004
316.00,0.10640
317.00,0.09518
318.00,0.08559
319.00,0.07729
320.00,0.07030
321.00,0.06485
322.00,0.06020
323.00,0.05646
324.00,0.05362
325.00,0.05096
326.00,0.04887
327.00,0.04716
328.00,0.04582
329.00,0.04466
330.00,0.04358
331.00,0.04266
332.00,0.04189
333.00,0.04120
334.00,0.04079
335.00,0.04019
336.00,0.03967
337.00,0.03934
338.00,0.03885
339.00,0.03853
340.00,0.03827
341.00,0.03792
342.00,0.03775
343.00,0.03746
344.00,0.03728
345.00,0.03705
346.00,0.03687
347.00,0.03673
348.00,0.03653
349.00,0.03633
350.00,0.03621
351.00,0.03606
352.00,0.03589
353.00,0.03568
354.00,0.03564
355.00,0.03555
356.00,0.03551
357.00,0.03535
358.00,0.03519
359.00,0.03510
360.00,0.03497
