"2021-10-27_104546 - RawData"
"Wavelength nm.","Abs."
190.00,3.18770
191.00,3.22255
192.00,3.36629
193.00,3.33095
194.00,3.54697
195.00,3.60503
196.00,3.71773
197.00,3.76956
198.00,3.67584
199.00,3.77338
200.00,3.88531
201.00,3.79784
202.00,3.88803
203.00,3.73792
204.00,3.88112
205.00,3.87930
206.00,3.86519
207.00,3.88869
208.00,3.87163
209.00,3.83195
210.00,3.86461
211.00,3.92917
212.00,3.82375
213.00,3.88087
214.00,3.91461
215.00,3.92990
216.00,3.92116
217.00,3.86617
218.00,3.90314
219.00,3.88773
220.00,3.92390
221.00,3.93498
222.00,3.93028
223.00,3.85399
224.00,3.86209
225.00,3.85010
226.00,3.86188
227.00,3.85217
228.00,3.84706
229.00,3.84517
230.00,3.84143
231.00,3.78894
232.00,3.85349
233.00,3.85817
234.00,3.83000
235.00,3.83163
236.00,3.81491
237.00,3.81071
238.00,3.79900
239.00,3.77573
240.00,3.73904
241.00,3.74323
242.00,3.70804
243.00,3.72424
244.00,3.66908
245.00,3.66476
246.00,3.60011
247.00,3.56973
248.00,3.49640
249.00,3.27354
250.00,2.93745
251.00,2.54588
252.00,2.19981
253.00,1.89122
254.00,1.61275
255.00,1.38094
256.00,1.17931
257.00,1.00769
258.00,0.85764
259.00,0.73366
260.00,0.63141
261.00,0.53850
262.00,0.46181
263.00,0.40085
264.00,0.34283
265.00,0.29411
266.00,0.25566
267.00,0.22426
268.00,0.19496
269.00,0.17120
270.00,0.15216
271.00,0.13516
272.00,0.12112
273.00,0.11017
274.00,0.10028
275.00,0.09195
276.00,0.08530
277.00,0.07980
278.00,0.07501
279.00,0.07077
280.00,0.06732
281.00,0.06447
282.00,0.06184
283.00,0.05977
284.00,0.05788
285.00,0.05615
286.00,0.05478
287.00,0.05345
288.00,0.05229
289.00,0.05119
290.00,0.05014
291.00,0.04918
292.00,0.04829
293.00,0.04747
294.00,0.04668
295.00,0.04593
296.00,0.04526
297.00,0.04474
298.00,0.04428
299.00,0.04390
300.00,0.04350
301.00,0.04312
302.00,0.04283
303.00,0.04256
304.00,0.04230
305.00,0.04202
306.00,0.04156
307.00,0.04135
308.00,0.04114
309.00,0.04102
310.00,0.04091
311.00,0.04065
312.00,0.04054
313.00,0.04036
314.00,0.04022
315.00,0.04010
316.00,0.03998
317.00,0.03989
318.00,0.03976
319.00,0.03961
320.00,0.03957
321.00,0.03947
322.00,0.03934
323.00,0.03931
324.00,0.03911
325.00,0.03917
326.00,0.03897
327.00,0.03893
328.00,0.03885
329.00,0.03880
330.00,0.03874
331.00,0.03862
332.00,0.03850
333.00,0.03845
334.00,0.03841
335.00,0.03825
336.00,0.03810
337.00,0.03816
338.00,0.03813
339.00,0.03802
340.00,0.03806
341.00,0.03801
342.00,0.03795
343.00,0.03786
344.00,0.03770
345.00,0.03783
346.00,0.03764
347.00,0.03764
348.00,0.03755
349.00,0.03738
350.00,0.03748
351.00,0.03737
352.00,0.03741
353.00,0.03729
354.00,0.03717
355.00,0.03712
356.00,0.03705
357.00,0.03706
358.00,0.03699
359.00,0.03693
360.00,0.03702
