"2021-10-27_110042 - RawData"
"Wavelength nm.","Abs."
190.00,2.69304
191.00,2.95842
192.00,3.13293
193.00,3.13246
194.00,3.30388
195.00,3.36887
196.00,3.39450
197.00,3.45827
198.00,3.44785
199.00,3.47618
200.00,3.51062
201.00,3.54295
202.00,3.56738
203.00,3.65112
204.00,3.58607
205.00,3.55174
206.00,3.59326
207.00,3.60963
208.00,3.59245
209.00,3.60852
210.00,3.64952
211.00,3.67578
212.00,3.62350
213.00,3.64601
214.00,3.61728
215.00,3.61646
216.00,3.60695
217.00,3.59558
218.00,3.58299
219.00,3.60095
220.00,3.62292
221.00,3.57431
222.00,3.52695
223.00,3.47858
224.00,3.45328
225.00,3.44775
226.00,3.43266
227.00,3.44440
228.00,3.45399
229.00,3.46458
230.00,3.41609
231.00,3.36482
232.00,3.34091
233.00,3.24182
234.00,3.06210
235.00,2.82817
236.00,2.56870
237.00,2.31203
238.00,2.06157
239.00,1.83302
240.00,1.62698
241.00,1.43355
242.00,1.25909
243.00,1.10762
244.00,0.96843
245.00,0.84184
246.00,0.73073
247.00,0.63512
248.00,0.55043
249.00,0.47807
250.00,0.41560
251.00,0.35941
252.00,0.31293
253.00,0.27330
254.00,0.23804
255.00,0.20889
256.00,0.18375
257.00,0.16228
258.00,0.14346
259.00,0.12785
260.00,0.11496
261.00,0.10338
262.00,0.09380
263.00,0.08609
264.00,0.07884
265.00,0.07275
266.00,0.06789
267.00,0.06401
268.00,0.06035
269.00,0.05739
270.00,0.05504
271.00,0.05292
272.00,0.05125
273.00,0.04993
274.00,0.04868
275.00,0.04767
276.00,0.04691
277.00,0.04623
278.00,0.04564
279.00,0.04512
280.00,0.04468
281.00,0.04433
282.00,0.04391
283.00,0.04367
284.00,0.04337
285.00,0.04312
286.00,0.04288
287.00,0.04263
288.00,0.04237
289.00,0.04211
290.00,0.04182
291.00,0.04156
292.00,0.04135
293.00,0.04108
294.00,0.04085
295.00,0.04066
296.00,0.04044
297.00,0.04028
298.00,0.04010
299.00,0.03995
300.00,0.03981
301.00,0.03964
302.00,0.03954
303.00,0.03946
304.00,0.03934
305.00,0.03923
306.00,0.03891
307.00,0.03877
308.00,0.03873
309.00,0.03868
310.00,0.03860
311.00,0.03851
312.00,0.03844
313.00,0.03833
314.00,0.03827
315.00,0.03818
316.00,0.03819
317.00,0.03816
318.00,0.03804
319.00,0.03796
320.00,0.03790
321.00,0.03784
322.00,0.03777
323.00,0.03783
324.00,0.03769
325.00,0.03763
326.00,0.03751
327.00,0.03751
328.00,0.03745
329.00,0.03745
330.00,0.03732
331.00,0.03732
332.00,0.03723
333.00,0.03716
334.00,0.03716
335.00,0.03711
336.00,0.03694
337.00,0.03696
338.00,0.03691
339.00,0.03691
340.00,0.03699
341.00,0.03693
342.00,0.03683
343.00,0.03687
344.00,0.03673
345.00,0.03683
346.00,0.03670
347.00,0.03664
348.00,0.03661
349.00,0.03642
350.00,0.03653
351.00,0.03639
352.00,0.03644
353.00,0.03658
354.00,0.03632
355.00,0.03622
356.00,0.03625
357.00,0.03606
358.00,0.03627
359.00,0.03610
360.00,0.03606
