"2021-11-02_longtermsulfite_133138 - RawData"
"Wavelength nm.","Abs."
190.00,3.06058
191.00,3.23190
192.00,3.42812
193.00,3.37227
194.00,3.50169
195.00,3.59656
196.00,3.70251
197.00,3.57515
198.00,3.73688
199.00,3.74086
200.00,3.72234
201.00,3.79967
202.00,3.90614
203.00,3.79352
204.00,3.82758
205.00,3.80878
206.00,3.82996
207.00,3.85519
208.00,3.88194
209.00,3.81479
210.00,3.88092
211.00,3.85539
212.00,3.87975
213.00,3.89789
214.00,3.87349
215.00,3.91797
216.00,3.90387
217.00,3.88547
218.00,3.89180
219.00,3.88866
220.00,3.89333
221.00,3.92812
222.00,3.93317
223.00,3.85580
224.00,3.84666
225.00,3.81683
226.00,3.84137
227.00,3.79333
228.00,3.85677
229.00,3.87756
230.00,3.83154
231.00,3.83638
232.00,3.79710
233.00,3.83730
234.00,3.77228
235.00,3.81555
236.00,3.85530
237.00,3.80411
238.00,3.79311
239.00,3.78799
240.00,3.70404
241.00,3.71712
242.00,3.68102
243.00,3.67401
244.00,3.67075
245.00,3.66394
246.00,3.59790
247.00,3.59123
248.00,3.54477
249.00,3.44551
250.00,3.15230
251.00,2.77789
252.00,2.40945
253.00,2.06912
254.00,1.75558
255.00,1.49405
256.00,1.26923
257.00,1.07829
258.00,0.91060
259.00,0.77084
260.00,0.65549
261.00,0.55156
262.00,0.46565
263.00,0.39839
264.00,0.33493
265.00,0.28201
266.00,0.24020
267.00,0.20589
268.00,0.17479
269.00,0.14998
270.00,0.13028
271.00,0.11311
272.00,0.09933
273.00,0.08876
274.00,0.07939
275.00,0.07182
276.00,0.06580
277.00,0.06119
278.00,0.05717
279.00,0.05377
280.00,0.05119
281.00,0.04916
282.00,0.04735
283.00,0.04594
284.00,0.04483
285.00,0.04376
286.00,0.04300
287.00,0.04237
288.00,0.04175
289.00,0.04120
290.00,0.04077
291.00,0.04034
292.00,0.03996
293.00,0.03960
294.00,0.03926
295.00,0.03893
296.00,0.03865
297.00,0.03847
298.00,0.03833
299.00,0.03818
300.00,0.03806
301.00,0.03793
302.00,0.03775
303.00,0.03764
304.00,0.03754
305.00,0.03740
306.00,0.03699
307.00,0.03687
308.00,0.03674
309.00,0.03664
310.00,0.03659
311.00,0.03658
312.00,0.03645
313.00,0.03645
314.00,0.03632
315.00,0.03624
316.00,0.03625
317.00,0.03613
318.00,0.03615
319.00,0.03603
320.00,0.03601
321.00,0.03595
322.00,0.03590
323.00,0.03589
324.00,0.03584
325.00,0.03563
326.00,0.03571
327.00,0.03569
328.00,0.03563
329.00,0.03552
330.00,0.03557
331.00,0.03548
332.00,0.03539
333.00,0.03539
334.00,0.03537
335.00,0.03537
336.00,0.03528
337.00,0.03522
338.00,0.03523
339.00,0.03523
340.00,0.03508
341.00,0.03522
342.00,0.03510
343.00,0.03502
344.00,0.03497
345.00,0.03496
346.00,0.03502
347.00,0.03491
348.00,0.03494
349.00,0.03491
350.00,0.03493
351.00,0.03481
352.00,0.03470
353.00,0.03484
354.00,0.03487
355.00,0.03468
356.00,0.03465
357.00,0.03462
358.00,0.03461
359.00,0.03456
360.00,0.03430
