"2021-11-02_longtermsulfite_141238 - RawData"
"Wavelength nm.","Abs."
190.00,3.09477
191.00,3.51274
192.00,3.43114
193.00,3.50798
194.00,3.59177
195.00,3.62459
196.00,3.79964
197.00,3.78831
198.00,3.84387
199.00,3.77980
200.00,3.81305
201.00,3.79733
202.00,3.80545
203.00,3.92931
204.00,3.91272
205.00,3.87476
206.00,3.89384
207.00,3.90923
208.00,3.87498
209.00,3.96458
210.00,3.95110
211.00,3.94182
212.00,3.94946
213.00,3.92340
214.00,3.91295
215.00,3.87874
216.00,3.90430
217.00,3.91342
218.00,3.89259
219.00,3.93446
220.00,3.92886
221.00,3.92613
222.00,3.87535
223.00,3.83307
224.00,3.91284
225.00,3.84953
226.00,3.83998
227.00,3.83505
228.00,3.82855
229.00,3.83981
230.00,3.79532
231.00,3.76898
232.00,3.84355
233.00,3.85387
234.00,3.79649
235.00,3.82034
236.00,3.78398
237.00,3.80605
238.00,3.80650
239.00,3.72913
240.00,3.70335
241.00,3.67960
242.00,3.66727
243.00,3.66614
244.00,3.64682
245.00,3.65918
246.00,3.54526
247.00,3.42952
248.00,3.27110
249.00,2.95729
250.00,2.57343
251.00,2.19922
252.00,1.87651
253.00,1.59729
254.00,1.34750
255.00,1.14178
256.00,0.96664
257.00,0.81773
258.00,0.68896
259.00,0.58327
260.00,0.49681
261.00,0.41827
262.00,0.35397
263.00,0.30380
264.00,0.25667
265.00,0.21754
266.00,0.18692
267.00,0.16232
268.00,0.13980
269.00,0.12180
270.00,0.10768
271.00,0.09557
272.00,0.08578
273.00,0.07832
274.00,0.07179
275.00,0.06647
276.00,0.06227
277.00,0.05899
278.00,0.05621
279.00,0.05382
280.00,0.05199
281.00,0.05051
282.00,0.04924
283.00,0.04823
284.00,0.04745
285.00,0.04668
286.00,0.04605
287.00,0.04558
288.00,0.04510
289.00,0.04471
290.00,0.04437
291.00,0.04408
292.00,0.04372
293.00,0.04346
294.00,0.04318
295.00,0.04291
296.00,0.04271
297.00,0.04251
298.00,0.04233
299.00,0.04218
300.00,0.04202
301.00,0.04193
302.00,0.04173
303.00,0.04163
304.00,0.04146
305.00,0.04132
306.00,0.04099
307.00,0.04080
308.00,0.04065
309.00,0.04051
310.00,0.04042
311.00,0.04036
312.00,0.04024
313.00,0.04012
314.00,0.04005
315.00,0.03999
316.00,0.03990
317.00,0.03975
318.00,0.03967
319.00,0.03960
320.00,0.03951
321.00,0.03947
322.00,0.03943
323.00,0.03931
324.00,0.03922
325.00,0.03909
326.00,0.03906
327.00,0.03908
328.00,0.03893
329.00,0.03886
330.00,0.03883
331.00,0.03874
332.00,0.03862
333.00,0.03860
334.00,0.03856
335.00,0.03848
336.00,0.03850
337.00,0.03839
338.00,0.03831
339.00,0.03833
340.00,0.03827
341.00,0.03833
342.00,0.03828
343.00,0.03816
344.00,0.03804
345.00,0.03792
346.00,0.03804
347.00,0.03804
348.00,0.03793
349.00,0.03789
350.00,0.03787
351.00,0.03787
352.00,0.03777
353.00,0.03783
354.00,0.03777
355.00,0.03767
356.00,0.03772
357.00,0.03763
358.00,0.03748
359.00,0.03754
360.00,0.03760
