"2021-11-23_longtermsulfite_101037 - RawData"
"Wavelength nm.","Abs."
190.00,0.21529
191.00,0.16301
192.00,0.13251
193.00,0.10815
194.00,0.09398
195.00,0.08426
196.00,0.07797
197.00,0.07387
198.00,0.07060
199.00,0.06816
200.00,0.06622
201.00,0.06448
202.00,0.06305
203.00,0.06177
204.00,0.06058
205.00,0.05962
206.00,0.05865
207.00,0.05775
208.00,0.05695
209.00,0.05618
210.00,0.05554
211.00,0.05487
212.00,0.05432
213.00,0.05380
214.00,0.05328
215.00,0.05287
216.00,0.05246
217.00,0.05206
218.00,0.05170
219.00,0.05144
220.00,0.05113
221.00,0.05087
222.00,0.05061
223.00,0.05038
224.00,0.05016
225.00,0.04993
226.00,0.04971
227.00,0.04951
228.00,0.04927
229.00,0.04901
230.00,0.04881
231.00,0.04857
232.00,0.04837
233.00,0.04816
234.00,0.04793
235.00,0.04768
236.00,0.04749
237.00,0.04732
238.00,0.04710
239.00,0.04695
240.00,0.04678
241.00,0.04660
242.00,0.04648
243.00,0.04630
244.00,0.04617
245.00,0.04599
246.00,0.04587
247.00,0.04578
248.00,0.04559
249.00,0.04550
250.00,0.04538
251.00,0.04523
252.00,0.04512
253.00,0.04497
254.00,0.04486
255.00,0.04472
256.00,0.04460
257.00,0.04448
258.00,0.04439
259.00,0.04424
260.00,0.04416
261.00,0.04407
262.00,0.04388
263.00,0.04381
264.00,0.04366
265.00,0.04356
266.00,0.04347
267.00,0.04338
268.00,0.04323
269.00,0.04320
270.00,0.04301
271.00,0.04289
272.00,0.04277
273.00,0.04262
274.00,0.04254
275.00,0.04240
276.00,0.04231
277.00,0.04225
278.00,0.04208
279.00,0.04201
280.00,0.04179
281.00,0.04175
282.00,0.04158
283.00,0.04147
284.00,0.04140
285.00,0.04128
286.00,0.04111
287.00,0.04103
288.00,0.04088
289.00,0.04080
290.00,0.04068
291.00,0.04060
292.00,0.04050
293.00,0.04044
294.00,0.04028
295.00,0.04021
296.00,0.04008
297.00,0.04002
298.00,0.03990
299.00,0.03979
300.00,0.03976
301.00,0.03969
302.00,0.03960
303.00,0.03958
304.00,0.03946
305.00,0.03937
306.00,0.03938
307.00,0.03928
308.00,0.03928
309.00,0.03922
310.00,0.03911
311.00,0.03905
312.00,0.03902
313.00,0.03899
314.00,0.03896
315.00,0.03876
316.00,0.03879
317.00,0.03879
318.00,0.03871
319.00,0.03864
320.00,0.03862
321.00,0.03857
322.00,0.03854
323.00,0.03848
324.00,0.03844
325.00,0.03836
326.00,0.03833
327.00,0.03827
328.00,0.03824
329.00,0.03815
330.00,0.03813
331.00,0.03816
332.00,0.03802
333.00,0.03796
334.00,0.03790
335.00,0.03796
336.00,0.03793
337.00,0.03790
338.00,0.03780
339.00,0.03777
340.00,0.03772
341.00,0.03770
342.00,0.03775
343.00,0.03769
344.00,0.03760
345.00,0.03755
346.00,0.03758
347.00,0.03767
348.00,0.03748
349.00,0.03751
350.00,0.03751
351.00,0.03746
352.00,0.03740
353.00,0.03737
354.00,0.03732
355.00,0.03732
356.00,0.03728
357.00,0.03731
358.00,0.03729
359.00,0.03714
360.00,0.03699
