"2022-03-03_102856 - RawData"
"Wavelength nm.","Abs."
190.00,0.22298
191.00,0.17073
192.00,0.13986
193.00,0.11551
194.00,0.10143
195.00,0.09178
196.00,0.08548
197.00,0.08093
198.00,0.07774
199.00,0.07512
200.00,0.07281
201.00,0.07076
202.00,0.06895
203.00,0.06734
204.00,0.06589
205.00,0.06462
206.00,0.06328
207.00,0.06204
208.00,0.06084
209.00,0.05983
210.00,0.05887
211.00,0.05791
212.00,0.05705
213.00,0.05632
214.00,0.05559
215.00,0.05498
216.00,0.05444
217.00,0.05392
218.00,0.05341
219.00,0.05295
220.00,0.05255
221.00,0.05211
222.00,0.05177
223.00,0.05138
224.00,0.05101
225.00,0.05066
226.00,0.05026
227.00,0.04991
228.00,0.04950
229.00,0.04913
230.00,0.04874
231.00,0.04837
232.00,0.04796
233.00,0.04759
234.00,0.04718
235.00,0.04680
236.00,0.04645
237.00,0.04613
238.00,0.04584
239.00,0.04561
240.00,0.04538
241.00,0.04515
242.00,0.04492
243.00,0.04469
244.00,0.04451
245.00,0.04430
246.00,0.04408
247.00,0.04398
248.00,0.04381
249.00,0.04362
250.00,0.04347
251.00,0.04333
252.00,0.04320
253.00,0.04301
254.00,0.04291
255.00,0.04277
256.00,0.04265
257.00,0.04250
258.00,0.04236
259.00,0.04227
260.00,0.04216
261.00,0.04205
262.00,0.04190
263.00,0.04179
264.00,0.04166
265.00,0.04153
266.00,0.04143
267.00,0.04134
268.00,0.04121
269.00,0.04114
270.00,0.04100
271.00,0.04088
272.00,0.04077
273.00,0.04066
274.00,0.04053
275.00,0.04048
276.00,0.04034
277.00,0.04022
278.00,0.04012
279.00,0.03999
280.00,0.03992
281.00,0.03981
282.00,0.03973
283.00,0.03960
284.00,0.03947
285.00,0.03938
286.00,0.03920
287.00,0.03908
288.00,0.03900
289.00,0.03886
290.00,0.03879
291.00,0.03871
292.00,0.03854
293.00,0.03845
294.00,0.03838
295.00,0.03822
296.00,0.03810
297.00,0.03813
298.00,0.03799
299.00,0.03784
300.00,0.03777
301.00,0.03769
302.00,0.03766
303.00,0.03754
304.00,0.03749
305.00,0.03743
306.00,0.03748
307.00,0.03729
308.00,0.03737
309.00,0.03728
310.00,0.03717
311.00,0.03720
312.00,0.03706
313.00,0.03709
314.00,0.03702
315.00,0.03694
316.00,0.03697
317.00,0.03690
318.00,0.03677
319.00,0.03676
320.00,0.03670
321.00,0.03676
322.00,0.03668
323.00,0.03662
324.00,0.03665
325.00,0.03656
326.00,0.03641
327.00,0.03641
328.00,0.03639
329.00,0.03627
330.00,0.03625
331.00,0.03616
332.00,0.03616
333.00,0.03624
334.00,0.03607
335.00,0.03607
336.00,0.03603
337.00,0.03603
338.00,0.03598
339.00,0.03590
340.00,0.03589
341.00,0.03583
342.00,0.03586
343.00,0.03586
344.00,0.03580
345.00,0.03572
346.00,0.03571
347.00,0.03566
348.00,0.03566
349.00,0.03554
350.00,0.03539
351.00,0.03545
352.00,0.03552
353.00,0.03551
354.00,0.03561
355.00,0.03543
356.00,0.03539
357.00,0.03531
358.00,0.03519
359.00,0.03519
360.00,0.03526
