"2022-03-15_longtermsulfite_125639 - RawData"
"Wavelength nm.","Abs."
190.00,2.82365
191.00,3.18152
192.00,3.18661
193.00,3.18321
194.00,3.37282
195.00,3.26938
196.00,3.49704
197.00,3.50995
198.00,3.61180
199.00,3.57231
200.00,3.54399
201.00,3.58775
202.00,3.56706
203.00,3.70134
204.00,3.65926
205.00,3.59061
206.00,3.64857
207.00,3.69807
208.00,3.69724
209.00,3.71469
210.00,3.66594
211.00,3.66258
212.00,3.64461
213.00,3.64917
214.00,3.66580
215.00,3.60498
216.00,3.58783
217.00,3.59503
218.00,3.57365
219.00,3.61247
220.00,3.60287
221.00,3.60168
222.00,3.51683
223.00,3.45950
224.00,3.42467
225.00,3.40919
226.00,3.41092
227.00,3.40025
228.00,3.37392
229.00,3.34964
230.00,3.26349
231.00,3.11827
232.00,2.92982
233.00,2.70392
234.00,2.43494
235.00,2.18771
236.00,1.95430
237.00,1.74352
238.00,1.54985
239.00,1.37477
240.00,1.21854
241.00,1.07260
242.00,0.94231
243.00,0.82933
244.00,0.72484
245.00,0.63052
246.00,0.54829
247.00,0.47748
248.00,0.41451
249.00,0.36057
250.00,0.31435
251.00,0.27292
252.00,0.23843
253.00,0.20879
254.00,0.18257
255.00,0.16119
256.00,0.14258
257.00,0.12657
258.00,0.11276
259.00,0.10138
260.00,0.09186
261.00,0.08319
262.00,0.07608
263.00,0.07043
264.00,0.06512
265.00,0.06061
266.00,0.05708
267.00,0.05418
268.00,0.05148
269.00,0.04930
270.00,0.04755
271.00,0.04605
272.00,0.04478
273.00,0.04376
274.00,0.04285
275.00,0.04208
276.00,0.04152
277.00,0.04103
278.00,0.04056
279.00,0.04012
280.00,0.03979
281.00,0.03943
282.00,0.03923
283.00,0.03899
284.00,0.03880
285.00,0.03859
286.00,0.03841
287.00,0.03827
288.00,0.03802
289.00,0.03793
290.00,0.03773
291.00,0.03766
292.00,0.03748
293.00,0.03735
294.00,0.03720
295.00,0.03709
296.00,0.03700
297.00,0.03691
298.00,0.03676
299.00,0.03671
300.00,0.03665
301.00,0.03654
302.00,0.03654
303.00,0.03639
304.00,0.03636
305.00,0.03635
306.00,0.03613
307.00,0.03606
308.00,0.03603
309.00,0.03600
310.00,0.03595
311.00,0.03590
312.00,0.03583
313.00,0.03580
314.00,0.03577
315.00,0.03575
316.00,0.03571
317.00,0.03569
318.00,0.03558
319.00,0.03561
320.00,0.03555
321.00,0.03539
322.00,0.03548
323.00,0.03546
324.00,0.03537
325.00,0.03532
326.00,0.03531
327.00,0.03522
328.00,0.03519
329.00,0.03513
330.00,0.03526
331.00,0.03508
332.00,0.03510
333.00,0.03511
334.00,0.03497
335.00,0.03496
336.00,0.03497
337.00,0.03494
338.00,0.03485
339.00,0.03484
340.00,0.03484
341.00,0.03484
342.00,0.03481
343.00,0.03481
344.00,0.03473
345.00,0.03471
346.00,0.03467
347.00,0.03465
348.00,0.03462
349.00,0.03459
350.00,0.03452
351.00,0.03447
352.00,0.03441
353.00,0.03455
354.00,0.03459
355.00,0.03455
356.00,0.03459
357.00,0.03439
358.00,0.03442
359.00,0.03447
360.00,0.03441
