"2022-06-01_longtermsulfite_094124 - RawData"
"Wavelength nm.","Abs."
190.00,0.98978
191.00,0.99319
192.00,0.99365
193.00,0.99533
194.00,0.99742
195.00,0.99966
196.00,1.00192
197.00,1.00423
198.00,1.00677
199.00,1.00954
200.00,1.01216
201.00,1.01497
202.00,1.01802
203.00,1.02103
204.00,1.02423
205.00,1.02745
206.00,1.03087
207.00,1.03398
208.00,1.03735
209.00,1.04083
210.00,1.04424
211.00,1.04782
212.00,1.05110
213.00,1.05464
214.00,1.05826
215.00,1.06180
216.00,1.06525
217.00,1.06883
218.00,1.07248
219.00,1.07588
220.00,1.07953
221.00,1.08293
222.00,1.08633
223.00,1.08960
224.00,1.09312
225.00,1.09596
226.00,1.09908
227.00,1.10219
228.00,1.10521
229.00,1.10797
230.00,1.11053
231.00,1.11292
232.00,1.11531
233.00,1.11745
234.00,1.11954
235.00,1.12152
236.00,1.12305
237.00,1.12447
238.00,1.12578
239.00,1.12679
240.00,1.12773
241.00,1.12851
242.00,1.12892
243.00,1.12930
244.00,1.12959
245.00,1.12936
246.00,1.12923
247.00,1.12892
248.00,1.12836
249.00,1.12741
250.00,1.12654
251.00,1.12538
252.00,1.12395
253.00,1.12231
254.00,1.12088
255.00,1.11899
256.00,1.11716
257.00,1.11499
258.00,1.11259
259.00,1.11024
260.00,1.10779
261.00,1.10516
262.00,1.10263
263.00,1.10005
264.00,1.09695
265.00,1.09364
266.00,1.09061
267.00,1.08759
268.00,1.08420
269.00,1.08038
270.00,1.07710
271.00,1.07343
272.00,1.06976
273.00,1.06627
274.00,1.06259
275.00,1.05879
276.00,1.05498
277.00,1.05119
278.00,1.04718
279.00,1.04297
280.00,1.03934
281.00,1.03558
282.00,1.03136
283.00,1.02769
284.00,1.02367
285.00,1.01964
286.00,1.01573
287.00,1.01210
288.00,1.00829
289.00,1.00444
290.00,1.00099
291.00,0.99702
292.00,0.99333
293.00,0.98964
294.00,0.98581
295.00,0.98201
296.00,0.97836
297.00,0.97488
298.00,0.97076
299.00,0.96718
300.00,0.96367
301.00,0.96024
302.00,0.95674
303.00,0.95369
304.00,0.95038
305.00,0.94710
306.00,0.94402
307.00,0.94107
308.00,0.93784
309.00,0.93500
310.00,0.93256
311.00,0.92957
312.00,0.92661
313.00,0.92485
314.00,0.92198
315.00,0.91962
316.00,0.91716
317.00,0.91507
318.00,0.91280
319.00,0.91034
320.00,0.90837
321.00,0.90599
322.00,0.90393
323.00,0.90216
324.00,0.90021
325.00,0.89836
326.00,0.89644
327.00,0.89479
328.00,0.89317
329.00,0.89182
330.00,0.89015
331.00,0.88875
332.00,0.88721
333.00,0.88606
334.00,0.88429
335.00,0.88358
336.00,0.88232
337.00,0.88139
338.00,0.88013
339.00,0.87926
340.00,0.87822
341.00,0.87740
342.00,0.87640
343.00,0.87611
344.00,0.87508
345.00,0.87433
346.00,0.87320
347.00,0.87256
348.00,0.87198
349.00,0.87192
350.00,0.87082
351.00,0.87082
352.00,0.86955
353.00,0.86986
354.00,0.86942
355.00,0.86879
356.00,0.86798
357.00,0.86790
358.00,0.86760
359.00,0.86725
360.00,0.86688
