"2022-07-13_longtermsulfite_100mM_pH4_1 - RawData"
"Wavelength nm.","Abs."
190.00,3.57266
191.00,3.83994
192.00,3.84546
193.00,3.94855
194.00,3.94072
195.00,3.97299
196.00,3.97850
197.00,3.97221
198.00,3.97639
199.00,3.99631
200.00,3.98227
201.00,3.94492
202.00,3.97861
203.00,3.98628
204.00,4.00000
205.00,3.99893
206.00,3.98691
207.00,3.98657
208.00,3.99896
209.00,4.00000
210.00,4.00000
211.00,3.99640
212.00,3.98898
213.00,4.00000
214.00,3.98399
215.00,4.00000
216.00,4.00000
217.00,3.99730
218.00,4.00000
219.00,4.00000
220.00,3.98119
221.00,3.91794
222.00,3.61015
223.00,3.08360
224.00,2.62802
225.00,2.27992
226.00,1.97865
227.00,1.72093
228.00,1.51503
229.00,1.35536
230.00,1.23204
231.00,1.14215
232.00,1.08028
233.00,1.04604
234.00,1.03209
235.00,1.03966
236.00,1.06511
237.00,1.10576
238.00,1.16110
239.00,1.22913
240.00,1.30888
241.00,1.40250
242.00,1.50571
243.00,1.61656
244.00,1.73863
245.00,1.87044
246.00,2.00664
247.00,2.14288
248.00,2.28436
249.00,2.42061
250.00,2.55312
251.00,2.68790
252.00,2.81920
253.00,2.93233
254.00,3.04341
255.00,3.14056
256.00,3.23792
257.00,3.32701
258.00,3.41180
259.00,3.48456
260.00,3.59950
261.00,3.66747
262.00,3.69572
263.00,3.73830
264.00,3.73036
265.00,3.73860
266.00,3.72612
267.00,3.81877
268.00,3.83226
269.00,3.82346
270.00,3.73386
271.00,3.81001
272.00,3.78261
273.00,3.82808
274.00,3.72260
275.00,3.76706
276.00,3.63684
277.00,3.55600
278.00,3.50923
279.00,3.50066
280.00,3.44440
281.00,3.37505
282.00,3.29721
283.00,3.23595
284.00,3.12617
285.00,3.02791
286.00,2.91467
287.00,2.80121
288.00,2.69495
289.00,2.56161
290.00,2.44165
291.00,2.31245
292.00,2.18108
293.00,2.04976
294.00,1.91724
295.00,1.77968
296.00,1.64612
297.00,1.51793
298.00,1.38507
299.00,1.26268
300.00,1.14693
301.00,1.03828
302.00,0.92934
303.00,0.83707
304.00,0.74500
305.00,0.66084
306.00,0.58618
307.00,0.51572
308.00,0.45149
309.00,0.39641
310.00,0.34683
311.00,0.30161
312.00,0.26131
313.00,0.22771
314.00,0.19872
315.00,0.17178
316.00,0.14854
317.00,0.12967
318.00,0.11363
319.00,0.09978
320.00,0.08839
321.00,0.07947
322.00,0.07188
323.00,0.06589
324.00,0.06107
325.00,0.05710
326.00,0.05386
327.00,0.05154
328.00,0.04955
329.00,0.04767
330.00,0.04631
331.00,0.04510
332.00,0.04398
333.00,0.04323
334.00,0.04242
335.00,0.04169
336.00,0.04111
337.00,0.04062
338.00,0.04015
339.00,0.03975
340.00,0.03935
341.00,0.03900
342.00,0.03871
343.00,0.03850
344.00,0.03816
345.00,0.03787
346.00,0.03766
347.00,0.03748
348.00,0.03731
349.00,0.03703
350.00,0.03680
351.00,0.03667
352.00,0.03658
353.00,0.03636
354.00,0.03629
355.00,0.03601
356.00,0.03593
357.00,0.03592
358.00,0.03584
359.00,0.03580
360.00,0.03568
