"2022-07-13_longtermsulfite_waterblank2 - RawData"
"Wavelength nm.","Abs."
190.00,0.22833
191.00,0.17496
192.00,0.14334
193.00,0.11853
194.00,0.10402
195.00,0.09396
196.00,0.08720
197.00,0.08255
198.00,0.07898
199.00,0.07620
200.00,0.07364
201.00,0.07140
202.00,0.06947
203.00,0.06776
204.00,0.06618
205.00,0.06477
206.00,0.06346
207.00,0.06219
208.00,0.06097
209.00,0.05994
210.00,0.05890
211.00,0.05795
212.00,0.05716
213.00,0.05643
214.00,0.05566
215.00,0.05504
216.00,0.05449
217.00,0.05396
218.00,0.05344
219.00,0.05299
220.00,0.05257
221.00,0.05219
222.00,0.05180
223.00,0.05142
224.00,0.05103
225.00,0.05067
226.00,0.05028
227.00,0.04991
228.00,0.04953
229.00,0.04915
230.00,0.04875
231.00,0.04837
232.00,0.04800
233.00,0.04759
234.00,0.04715
235.00,0.04678
236.00,0.04643
237.00,0.04614
238.00,0.04584
239.00,0.04558
240.00,0.04535
241.00,0.04514
242.00,0.04488
243.00,0.04465
244.00,0.04443
245.00,0.04425
246.00,0.04410
247.00,0.04390
248.00,0.04376
249.00,0.04358
250.00,0.04346
251.00,0.04326
252.00,0.04312
253.00,0.04295
254.00,0.04286
255.00,0.04271
256.00,0.04256
257.00,0.04242
258.00,0.04228
259.00,0.04221
260.00,0.04208
261.00,0.04195
262.00,0.04184
263.00,0.04172
264.00,0.04161
265.00,0.04146
266.00,0.04137
267.00,0.04126
268.00,0.04114
269.00,0.04100
270.00,0.04092
271.00,0.04080
272.00,0.04071
273.00,0.04057
274.00,0.04048
275.00,0.04036
276.00,0.04025
277.00,0.04013
278.00,0.04002
279.00,0.03989
280.00,0.03981
281.00,0.03967
282.00,0.03957
283.00,0.03944
284.00,0.03937
285.00,0.03920
286.00,0.03911
287.00,0.03897
288.00,0.03883
289.00,0.03871
290.00,0.03868
291.00,0.03845
292.00,0.03838
293.00,0.03835
294.00,0.03822
295.00,0.03812
296.00,0.03796
297.00,0.03790
298.00,0.03777
299.00,0.03770
300.00,0.03763
301.00,0.03758
302.00,0.03749
303.00,0.03743
304.00,0.03737
305.00,0.03726
306.00,0.03722
307.00,0.03706
308.00,0.03700
309.00,0.03703
310.00,0.03700
311.00,0.03697
312.00,0.03691
313.00,0.03683
314.00,0.03682
315.00,0.03670
316.00,0.03662
317.00,0.03662
318.00,0.03658
319.00,0.03644
320.00,0.03644
321.00,0.03644
322.00,0.03639
323.00,0.03635
324.00,0.03630
325.00,0.03627
326.00,0.03619
327.00,0.03616
328.00,0.03615
329.00,0.03607
330.00,0.03610
331.00,0.03601
332.00,0.03590
333.00,0.03592
334.00,0.03581
335.00,0.03584
336.00,0.03574
337.00,0.03578
338.00,0.03574
339.00,0.03572
340.00,0.03580
341.00,0.03566
342.00,0.03569
343.00,0.03558
344.00,0.03543
345.00,0.03551
346.00,0.03555
347.00,0.03549
348.00,0.03551
349.00,0.03534
350.00,0.03551
351.00,0.03542
352.00,0.03539
353.00,0.03520
354.00,0.03525
355.00,0.03523
356.00,0.03522
357.00,0.03519
358.00,0.03503
359.00,0.03510
360.00,0.03522
