"2022-07-20_longtermsulfite_lowconcentration_pH9_2 - RawData"
"Wavelength nm.","Abs."
190.00,2.88203
191.00,3.11688
192.00,3.44987
193.00,3.39284
194.00,3.40024
195.00,3.52722
196.00,3.66803
197.00,3.74313
198.00,3.68568
199.00,3.78532
200.00,3.75085
201.00,3.73912
202.00,3.79138
203.00,3.77406
204.00,3.73436
205.00,3.73828
206.00,3.85783
207.00,3.77806
208.00,3.86781
209.00,3.89505
210.00,3.91501
211.00,3.89650
212.00,3.87053
213.00,3.85997
214.00,3.85437
215.00,3.85155
216.00,3.82851
217.00,3.85797
218.00,3.86147
219.00,3.88544
220.00,3.89684
221.00,3.86911
222.00,3.74989
223.00,3.77467
224.00,3.76117
225.00,3.81638
226.00,3.78650
227.00,3.74232
228.00,3.80466
229.00,3.83978
230.00,3.75574
231.00,3.73877
232.00,3.72820
233.00,3.76588
234.00,3.76988
235.00,3.72247
236.00,3.76659
237.00,3.73088
238.00,3.70728
239.00,3.68881
240.00,3.68689
241.00,3.64682
242.00,3.63205
243.00,3.60211
244.00,3.61505
245.00,3.57504
246.00,3.46312
247.00,3.34401
248.00,3.11990
249.00,2.79724
250.00,2.42406
251.00,2.06348
252.00,1.75641
253.00,1.49399
254.00,1.25974
255.00,1.06950
256.00,0.90469
257.00,0.76530
258.00,0.64507
259.00,0.54590
260.00,0.46336
261.00,0.38985
262.00,0.33011
263.00,0.28387
264.00,0.24016
265.00,0.20358
266.00,0.17506
267.00,0.15201
268.00,0.13103
269.00,0.11440
270.00,0.10133
271.00,0.08990
272.00,0.08075
273.00,0.07368
274.00,0.06749
275.00,0.06250
276.00,0.05859
277.00,0.05554
278.00,0.05289
279.00,0.05066
280.00,0.04887
281.00,0.04747
282.00,0.04626
283.00,0.04529
284.00,0.04451
285.00,0.04381
286.00,0.04329
287.00,0.04283
288.00,0.04239
289.00,0.04198
290.00,0.04176
291.00,0.04137
292.00,0.04111
293.00,0.04079
294.00,0.04060
295.00,0.04030
296.00,0.03999
297.00,0.03987
298.00,0.03975
299.00,0.03952
300.00,0.03941
301.00,0.03926
302.00,0.03917
303.00,0.03902
304.00,0.03882
305.00,0.03870
306.00,0.03842
307.00,0.03822
308.00,0.03807
309.00,0.03801
310.00,0.03784
311.00,0.03777
312.00,0.03758
313.00,0.03755
314.00,0.03752
315.00,0.03726
316.00,0.03728
317.00,0.03722
318.00,0.03711
319.00,0.03703
320.00,0.03694
321.00,0.03683
322.00,0.03682
323.00,0.03671
324.00,0.03673
325.00,0.03662
326.00,0.03648
327.00,0.03647
328.00,0.03635
329.00,0.03629
330.00,0.03632
331.00,0.03622
332.00,0.03618
333.00,0.03606
334.00,0.03596
335.00,0.03603
336.00,0.03600
337.00,0.03574
338.00,0.03580
339.00,0.03581
340.00,0.03572
341.00,0.03569
342.00,0.03563
343.00,0.03564
344.00,0.03561
345.00,0.03551
346.00,0.03554
347.00,0.03549
348.00,0.03535
349.00,0.03534
350.00,0.03537
351.00,0.03532
352.00,0.03539
353.00,0.03511
354.00,0.03519
355.00,0.03516
356.00,0.03508
357.00,0.03516
358.00,0.03511
359.00,0.03497
360.00,0.03482
