"2022-08-08_longtermsulfite_120131 - RawData"
"Wavelength nm.","Abs."
190.00,0.98665
191.00,0.98854
192.00,0.98938
193.00,0.99190
194.00,0.99361
195.00,0.99556
196.00,0.99777
197.00,1.00029
198.00,1.00253
199.00,1.00504
200.00,1.00789
201.00,1.01088
202.00,1.01358
203.00,1.01649
204.00,1.01958
205.00,1.02264
206.00,1.02577
207.00,1.02913
208.00,1.03275
209.00,1.03603
210.00,1.03955
211.00,1.04288
212.00,1.04616
213.00,1.04961
214.00,1.05336
215.00,1.05692
216.00,1.06036
217.00,1.06401
218.00,1.06769
219.00,1.07097
220.00,1.07468
221.00,1.07796
222.00,1.08131
223.00,1.08459
224.00,1.08807
225.00,1.09125
226.00,1.09430
227.00,1.09747
228.00,1.10028
229.00,1.10301
230.00,1.10564
231.00,1.10823
232.00,1.11058
233.00,1.11267
234.00,1.11487
235.00,1.11662
236.00,1.11818
237.00,1.11972
238.00,1.12100
239.00,1.12187
240.00,1.12294
241.00,1.12378
242.00,1.12422
243.00,1.12473
244.00,1.12480
245.00,1.12497
246.00,1.12468
247.00,1.12421
248.00,1.12364
249.00,1.12297
250.00,1.12212
251.00,1.12099
252.00,1.11963
253.00,1.11815
254.00,1.11638
255.00,1.11447
256.00,1.11290
257.00,1.11067
258.00,1.10838
259.00,1.10628
260.00,1.10384
261.00,1.10133
262.00,1.09856
263.00,1.09610
264.00,1.09300
265.00,1.08989
266.00,1.08690
267.00,1.08377
268.00,1.08037
269.00,1.07698
270.00,1.07367
271.00,1.06999
272.00,1.06645
273.00,1.06313
274.00,1.05905
275.00,1.05537
276.00,1.05153
277.00,1.04787
278.00,1.04401
279.00,1.04002
280.00,1.03598
281.00,1.03214
282.00,1.02820
283.00,1.02469
284.00,1.02048
285.00,1.01657
286.00,1.01305
287.00,1.00923
288.00,1.00549
289.00,1.00162
290.00,0.99792
291.00,0.99405
292.00,0.99030
293.00,0.98657
294.00,0.98326
295.00,0.97923
296.00,0.97557
297.00,0.97173
298.00,0.96800
299.00,0.96454
300.00,0.96086
301.00,0.95749
302.00,0.95399
303.00,0.95064
304.00,0.94746
305.00,0.94420
306.00,0.94148
307.00,0.93831
308.00,0.93518
309.00,0.93271
310.00,0.92996
311.00,0.92700
312.00,0.92436
313.00,0.92172
314.00,0.91948
315.00,0.91693
316.00,0.91460
317.00,0.91232
318.00,0.90982
319.00,0.90787
320.00,0.90567
321.00,0.90314
322.00,0.90118
323.00,0.89935
324.00,0.89777
325.00,0.89563
326.00,0.89366
327.00,0.89224
328.00,0.89018
329.00,0.88866
330.00,0.88722
331.00,0.88589
332.00,0.88431
333.00,0.88326
334.00,0.88190
335.00,0.88066
336.00,0.87958
337.00,0.87845
338.00,0.87752
339.00,0.87650
340.00,0.87524
341.00,0.87437
342.00,0.87395
343.00,0.87286
344.00,0.87178
345.00,0.87155
346.00,0.87080
347.00,0.86993
348.00,0.86920
349.00,0.86861
350.00,0.86800
351.00,0.86761
352.00,0.86768
353.00,0.86725
354.00,0.86612
355.00,0.86639
356.00,0.86607
357.00,0.86540
358.00,0.86531
359.00,0.86487
360.00,0.86523
