"2022-08-08_longtermsulfite_115419 - RawData"
"Wavelength nm.","Abs."
190.00,2.87862
191.00,3.32413
192.00,3.36879
193.00,3.26637
194.00,3.47211
195.00,3.64763
196.00,3.65169
197.00,3.67336
198.00,3.66957
199.00,3.77109
200.00,3.72940
201.00,3.72548
202.00,3.76141
203.00,3.70851
204.00,3.82024
205.00,3.76996
206.00,3.74657
207.00,3.82776
208.00,3.83176
209.00,3.84911
210.00,3.86903
211.00,3.83182
212.00,3.84773
213.00,3.78386
214.00,3.75502
215.00,3.84602
216.00,3.77811
217.00,3.69304
218.00,3.76495
219.00,3.84584
220.00,3.81911
221.00,3.78610
222.00,3.68117
223.00,3.63226
224.00,3.61835
225.00,3.62102
226.00,3.62347
227.00,3.60036
228.00,3.57257
229.00,3.61223
230.00,3.58136
231.00,3.56339
232.00,3.58131
233.00,3.58585
234.00,3.60909
235.00,3.53909
236.00,3.55586
237.00,3.53497
238.00,3.52109
239.00,3.47571
240.00,3.44777
241.00,3.40123
242.00,3.24544
243.00,2.99693
244.00,2.65434
245.00,2.28726
246.00,1.94464
247.00,1.64615
248.00,1.38753
249.00,1.17009
250.00,0.98621
251.00,0.82596
252.00,0.69734
253.00,0.58963
254.00,0.49596
255.00,0.42117
256.00,0.35887
257.00,0.30719
258.00,0.26328
259.00,0.22801
260.00,0.19972
261.00,0.17462
262.00,0.15434
263.00,0.13864
264.00,0.12416
265.00,0.11230
266.00,0.10313
267.00,0.09583
268.00,0.08917
269.00,0.08388
270.00,0.07970
271.00,0.07605
272.00,0.07312
273.00,0.07089
274.00,0.06879
275.00,0.06700
276.00,0.06563
277.00,0.06445
278.00,0.06339
279.00,0.06245
280.00,0.06166
281.00,0.06099
282.00,0.06032
283.00,0.05978
284.00,0.05925
285.00,0.05875
286.00,0.05827
287.00,0.05786
288.00,0.05743
289.00,0.05710
290.00,0.05679
291.00,0.05644
292.00,0.05605
293.00,0.05573
294.00,0.05542
295.00,0.05504
296.00,0.05472
297.00,0.05440
298.00,0.05400
299.00,0.05376
300.00,0.05342
301.00,0.05312
302.00,0.05275
303.00,0.05234
304.00,0.05203
305.00,0.05164
306.00,0.05115
307.00,0.05070
308.00,0.05028
309.00,0.04993
310.00,0.04948
311.00,0.04906
312.00,0.04858
313.00,0.04803
314.00,0.04770
315.00,0.04735
316.00,0.04681
317.00,0.04639
318.00,0.04601
319.00,0.04561
320.00,0.04510
321.00,0.04462
322.00,0.04425
323.00,0.04395
324.00,0.04362
325.00,0.04327
326.00,0.04285
327.00,0.04262
328.00,0.04234
329.00,0.04195
330.00,0.04176
331.00,0.04150
332.00,0.04131
333.00,0.04106
334.00,0.04086
335.00,0.04073
336.00,0.04054
337.00,0.04024
338.00,0.04010
339.00,0.04010
340.00,0.03976
341.00,0.03972
342.00,0.03957
343.00,0.03940
344.00,0.03932
345.00,0.03925
346.00,0.03912
347.00,0.03897
348.00,0.03900
349.00,0.03870
350.00,0.03856
351.00,0.03865
352.00,0.03851
353.00,0.03836
354.00,0.03824
355.00,0.03838
356.00,0.03812
357.00,0.03822
358.00,0.03799
359.00,0.03777
360.00,0.03757
