"2022-07-26_raman__164519 - RawData"
"Wavelength nm.","Abs."
190.00,3.70541
191.00,3.63316
192.00,3.58382
193.00,3.76308
194.00,3.83276
195.00,3.59840
196.00,3.79276
197.00,3.80429
198.00,3.85057
199.00,3.83418
200.00,3.82487
201.00,3.82539
202.00,3.89438
203.00,3.92543
204.00,3.96736
205.00,3.96860
206.00,3.88855
207.00,3.94450
208.00,3.96564
209.00,3.93150
210.00,3.93622
211.00,3.94466
212.00,3.98924
213.00,3.98088
214.00,3.97878
215.00,3.98233
216.00,3.98042
217.00,3.97473
218.00,3.98618
219.00,3.99252
220.00,3.99394
221.00,3.98985
222.00,3.98662
223.00,3.99597
224.00,3.98103
225.00,3.97307
226.00,3.98917
227.00,3.97578
228.00,3.97891
229.00,3.98592
230.00,3.98753
231.00,3.99023
232.00,3.97647
233.00,3.98337
234.00,3.97867
235.00,3.99443
236.00,3.97827
237.00,3.96822
238.00,3.97160
239.00,3.96750
240.00,3.97592
241.00,3.96631
242.00,3.98544
243.00,3.99138
244.00,3.94281
245.00,3.94991
246.00,3.92982
247.00,3.90862
248.00,3.88725
249.00,3.88887
250.00,3.92479
251.00,3.84438
252.00,3.84399
253.00,3.81755
254.00,3.79715
255.00,3.80461
256.00,3.76411
257.00,3.71567
258.00,3.65016
259.00,3.53712
260.00,3.25887
261.00,2.81371
262.00,2.38811
263.00,2.02710
264.00,1.67538
265.00,1.37900
266.00,1.14742
267.00,0.96188
268.00,0.79022
269.00,0.65306
270.00,0.54726
271.00,0.45728
272.00,0.38493
273.00,0.33005
274.00,0.28210
275.00,0.24336
276.00,0.21370
277.00,0.19017
278.00,0.17030
279.00,0.15392
280.00,0.14116
281.00,0.13081
282.00,0.12184
283.00,0.11482
284.00,0.10896
285.00,0.10374
286.00,0.09935
287.00,0.09560
288.00,0.09227
289.00,0.08911
290.00,0.08658
291.00,0.08397
292.00,0.08150
293.00,0.07924
294.00,0.07710
295.00,0.07486
296.00,0.07281
297.00,0.07095
298.00,0.06911
299.00,0.06737
300.00,0.06573
301.00,0.06413
302.00,0.06248
303.00,0.06111
304.00,0.05974
305.00,0.05840
306.00,0.05682
307.00,0.05563
308.00,0.05457
309.00,0.05351
310.00,0.05251
311.00,0.05157
312.00,0.05069
313.00,0.04980
314.00,0.04912
315.00,0.04831
316.00,0.04758
317.00,0.04689
318.00,0.04634
319.00,0.04585
320.00,0.04527
321.00,0.04469
322.00,0.04414
323.00,0.04379
324.00,0.04338
325.00,0.04301
326.00,0.04265
327.00,0.04236
328.00,0.04214
329.00,0.04181
330.00,0.04155
331.00,0.04121
332.00,0.04118
333.00,0.04094
334.00,0.04068
335.00,0.04059
336.00,0.04033
337.00,0.04022
338.00,0.04024
339.00,0.03999
340.00,0.03999
341.00,0.03983
342.00,0.03975
343.00,0.03966
344.00,0.03952
345.00,0.03944
346.00,0.03932
347.00,0.03940
348.00,0.03915
349.00,0.03911
350.00,0.03900
351.00,0.03912
352.00,0.03908
353.00,0.03880
354.00,0.03889
355.00,0.03885
356.00,0.03897
357.00,0.03877
358.00,0.03889
359.00,0.03876
360.00,0.03886
