"2022-07-26_raman__162506 - RawData"
"Wavelength nm.","Abs."
190.00,1.94196
191.00,1.81381
192.00,1.59036
193.00,1.26324
194.00,1.00070
195.00,0.77435
196.00,0.59554
197.00,0.45845
198.00,0.35419
199.00,0.27786
200.00,0.22244
201.00,0.18147
202.00,0.15222
203.00,0.13127
204.00,0.11584
205.00,0.10484
206.00,0.09645
207.00,0.09056
208.00,0.08589
209.00,0.08244
210.00,0.07941
211.00,0.07680
212.00,0.07489
213.00,0.07330
214.00,0.07184
215.00,0.07051
216.00,0.06924
217.00,0.06789
218.00,0.06671
219.00,0.06569
220.00,0.06448
221.00,0.06296
222.00,0.06137
223.00,0.05991
224.00,0.05862
225.00,0.05765
226.00,0.05687
227.00,0.05609
228.00,0.05553
229.00,0.05504
230.00,0.05463
231.00,0.05428
232.00,0.05388
233.00,0.05360
234.00,0.05333
235.00,0.05305
236.00,0.05281
237.00,0.05261
238.00,0.05240
239.00,0.05226
240.00,0.05211
241.00,0.05191
242.00,0.05171
243.00,0.05151
244.00,0.05132
245.00,0.05109
246.00,0.05087
247.00,0.05074
248.00,0.05051
249.00,0.05034
250.00,0.05002
251.00,0.04974
252.00,0.04945
253.00,0.04915
254.00,0.04886
255.00,0.04858
256.00,0.04832
257.00,0.04810
258.00,0.04782
259.00,0.04753
260.00,0.04720
261.00,0.04681
262.00,0.04649
263.00,0.04620
264.00,0.04588
265.00,0.04561
266.00,0.04532
267.00,0.04514
268.00,0.04488
269.00,0.04465
270.00,0.04446
271.00,0.04428
272.00,0.04414
273.00,0.04396
274.00,0.04381
275.00,0.04359
276.00,0.04343
277.00,0.04329
278.00,0.04305
279.00,0.04283
280.00,0.04272
281.00,0.04251
282.00,0.04234
283.00,0.04221
284.00,0.04198
285.00,0.04189
286.00,0.04169
287.00,0.04152
288.00,0.04138
289.00,0.04114
290.00,0.04105
291.00,0.04086
292.00,0.04076
293.00,0.04054
294.00,0.04044
295.00,0.04027
296.00,0.04016
297.00,0.04004
298.00,0.03996
299.00,0.03983
300.00,0.03976
301.00,0.03967
302.00,0.03952
303.00,0.03946
304.00,0.03943
305.00,0.03941
306.00,0.03928
307.00,0.03925
308.00,0.03917
309.00,0.03915
310.00,0.03899
311.00,0.03896
312.00,0.03888
313.00,0.03874
314.00,0.03883
315.00,0.03865
316.00,0.03857
317.00,0.03857
318.00,0.03864
319.00,0.03853
320.00,0.03839
321.00,0.03835
322.00,0.03833
323.00,0.03827
324.00,0.03825
325.00,0.03816
326.00,0.03815
327.00,0.03809
328.00,0.03807
329.00,0.03793
330.00,0.03786
331.00,0.03780
332.00,0.03789
333.00,0.03778
334.00,0.03770
335.00,0.03769
336.00,0.03766
337.00,0.03761
338.00,0.03757
339.00,0.03749
340.00,0.03749
341.00,0.03746
342.00,0.03746
343.00,0.03741
344.00,0.03731
345.00,0.03723
346.00,0.03728
347.00,0.03725
348.00,0.03714
349.00,0.03714
350.00,0.03699
351.00,0.03714
352.00,0.03712
353.00,0.03700
354.00,0.03694
355.00,0.03696
356.00,0.03696
357.00,0.03685
358.00,0.03708
359.00,0.03676
360.00,0.03677
