"2022-07-26_raman__162052 - RawData"
"Wavelength nm.","Abs."
190.00,2.75722
191.00,2.93507
192.00,3.10638
193.00,3.12816
194.00,3.30090
195.00,3.25034
196.00,3.31674
197.00,3.39226
198.00,3.42503
199.00,3.40627
200.00,3.44231
201.00,3.47650
202.00,3.53549
203.00,3.54366
204.00,3.49165
205.00,3.53554
206.00,3.54604
207.00,3.50528
208.00,3.54025
209.00,3.55447
210.00,3.55643
211.00,3.55333
212.00,3.58842
213.00,3.51625
214.00,3.47693
215.00,3.50650
216.00,3.46259
217.00,3.45123
218.00,3.46196
219.00,3.41240
220.00,3.33957
221.00,3.21756
222.00,3.02228
223.00,2.80348
224.00,2.59291
225.00,2.38863
226.00,2.18571
227.00,1.98073
228.00,1.78999
229.00,1.61662
230.00,1.45357
231.00,1.30582
232.00,1.17078
233.00,1.05400
234.00,0.93828
235.00,0.83980
236.00,0.75127
237.00,0.67247
238.00,0.60025
239.00,0.53604
240.00,0.47867
241.00,0.42546
242.00,0.37817
243.00,0.33682
244.00,0.29861
245.00,0.26421
246.00,0.23413
247.00,0.20799
248.00,0.18480
249.00,0.16524
250.00,0.14833
251.00,0.13312
252.00,0.12042
253.00,0.10947
254.00,0.09972
255.00,0.09166
256.00,0.08464
257.00,0.07867
258.00,0.07347
259.00,0.06914
260.00,0.06551
261.00,0.06213
262.00,0.05942
263.00,0.05722
264.00,0.05513
265.00,0.05333
266.00,0.05193
267.00,0.05075
268.00,0.04961
269.00,0.04866
270.00,0.04782
271.00,0.04720
272.00,0.04662
273.00,0.04613
274.00,0.04573
275.00,0.04515
276.00,0.04482
277.00,0.04449
278.00,0.04419
279.00,0.04385
280.00,0.04364
281.00,0.04333
282.00,0.04311
283.00,0.04294
284.00,0.04266
285.00,0.04259
286.00,0.04237
287.00,0.04216
288.00,0.04205
289.00,0.04179
290.00,0.04169
291.00,0.04152
292.00,0.04140
293.00,0.04121
294.00,0.04111
295.00,0.04102
296.00,0.04086
297.00,0.04074
298.00,0.04065
299.00,0.04057
300.00,0.04045
301.00,0.04036
302.00,0.04027
303.00,0.04024
304.00,0.04015
305.00,0.04004
306.00,0.03990
307.00,0.03983
308.00,0.03981
309.00,0.03973
310.00,0.03960
311.00,0.03955
312.00,0.03947
313.00,0.03943
314.00,0.03940
315.00,0.03928
316.00,0.03920
317.00,0.03923
318.00,0.03918
319.00,0.03915
320.00,0.03908
321.00,0.03899
322.00,0.03894
323.00,0.03886
324.00,0.03879
325.00,0.03879
326.00,0.03876
327.00,0.03871
328.00,0.03870
329.00,0.03857
330.00,0.03857
331.00,0.03851
332.00,0.03842
333.00,0.03844
334.00,0.03841
335.00,0.03841
336.00,0.03831
337.00,0.03824
338.00,0.03835
339.00,0.03819
340.00,0.03819
341.00,0.03815
342.00,0.03821
343.00,0.03799
344.00,0.03801
345.00,0.03796
346.00,0.03798
347.00,0.03789
348.00,0.03789
349.00,0.03781
350.00,0.03780
351.00,0.03780
352.00,0.03783
353.00,0.03772
354.00,0.03769
355.00,0.03773
356.00,0.03772
357.00,0.03763
358.00,0.03772
359.00,0.03757
360.00,0.03752
