"2022-07-26_raman__163324 - RawData"
"Wavelength nm.","Abs."
190.00,3.35390
191.00,3.52887
192.00,3.63525
193.00,3.74529
194.00,3.83328
195.00,3.82771
196.00,3.86794
197.00,3.93137
198.00,3.83212
199.00,3.92752
200.00,3.81787
201.00,3.94044
202.00,3.90869
203.00,3.89493
204.00,3.92433
205.00,3.95282
206.00,3.95592
207.00,3.94423
208.00,3.91154
209.00,3.91888
210.00,3.98698
211.00,3.96277
212.00,3.93491
213.00,3.97557
214.00,3.92963
215.00,3.97911
216.00,3.95329
217.00,3.93344
218.00,3.93649
219.00,3.92847
220.00,3.93573
221.00,3.94876
222.00,3.92493
223.00,3.95189
224.00,3.95738
225.00,3.93887
226.00,3.93344
227.00,3.91852
228.00,3.91757
229.00,3.93611
230.00,3.92448
231.00,3.92290
232.00,3.94920
233.00,3.92117
234.00,3.90654
235.00,3.90721
236.00,3.90796
237.00,3.93520
238.00,3.88675
239.00,3.84715
240.00,3.88678
241.00,3.86877
242.00,3.81390
243.00,3.81200
244.00,3.76134
245.00,3.74773
246.00,3.72572
247.00,3.64934
248.00,3.49623
249.00,3.28226
250.00,2.97324
251.00,2.62993
252.00,2.32198
253.00,2.04008
254.00,1.77684
255.00,1.55350
256.00,1.35330
257.00,1.17918
258.00,1.02449
259.00,0.89348
260.00,0.78099
261.00,0.67599
262.00,0.58847
263.00,0.51744
264.00,0.44771
265.00,0.38751
266.00,0.33875
267.00,0.29825
268.00,0.25935
269.00,0.22697
270.00,0.20053
271.00,0.17650
272.00,0.15617
273.00,0.13989
274.00,0.12486
275.00,0.11188
276.00,0.10136
277.00,0.09248
278.00,0.08463
279.00,0.07776
280.00,0.07211
281.00,0.06734
282.00,0.06305
283.00,0.05963
284.00,0.05661
285.00,0.05391
286.00,0.05168
287.00,0.04971
288.00,0.04808
289.00,0.04651
290.00,0.04535
291.00,0.04417
292.00,0.04317
293.00,0.04227
294.00,0.04146
295.00,0.04076
296.00,0.04012
297.00,0.03960
298.00,0.03912
299.00,0.03879
300.00,0.03848
301.00,0.03815
302.00,0.03789
303.00,0.03769
304.00,0.03754
305.00,0.03734
306.00,0.03682
307.00,0.03667
308.00,0.03664
309.00,0.03636
310.00,0.03629
311.00,0.03627
312.00,0.03612
313.00,0.03603
314.00,0.03601
315.00,0.03590
316.00,0.03575
317.00,0.03574
318.00,0.03572
319.00,0.03571
320.00,0.03552
321.00,0.03551
322.00,0.03539
323.00,0.03543
324.00,0.03539
325.00,0.03535
326.00,0.03522
327.00,0.03522
328.00,0.03531
329.00,0.03513
330.00,0.03514
331.00,0.03506
332.00,0.03513
333.00,0.03508
334.00,0.03510
335.00,0.03513
336.00,0.03496
337.00,0.03499
338.00,0.03493
339.00,0.03487
340.00,0.03484
341.00,0.03484
342.00,0.03493
343.00,0.03464
344.00,0.03474
345.00,0.03471
346.00,0.03462
347.00,0.03473
348.00,0.03461
349.00,0.03464
350.00,0.03455
351.00,0.03453
352.00,0.03450
353.00,0.03445
354.00,0.03442
355.00,0.03444
356.00,0.03452
357.00,0.03447
358.00,0.03455
359.00,0.03433
360.00,0.03427
